id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
1SZWIusKczJ8vloqRTAgsz,Symbols,['Rosa Cania'],240917,10/25/19,2019,0.948,0.224,0.0832,0.921,0.0922,-21.754,0.0618,68.221,0.108,1,2,61,0
1s4Nc5XFspnFHEHLv92gak,Sympathy,['Too Close To Touch'],216120,9/23/16,2016,0.00112,0.382,0.799,4.54e-05,0.138,-3.676,0.0607,140.059,0.244,0,6,54,0
5SO2xwVkn1iu8f5eSxvSdR,Symphonia IX,['Current Joys'],181360,2013,2013,0.915,0.593,0.377,0.582,0.289,-12.682,0.0246,99.324,0.149,1,0,56,0
2t5ihA1IyzFp2u5t17IwSu,Symphonia IX (My Wait Is U),['Grimes'],292507,2/21/12,2012,0.0675,0.797,0.452,0.656,0.0919,-9.592,0.0375,134.991,0.227,1,2,43,0
658MpWKxDiBr29XMvxRV2s,Symphonies,"['Dan Black', 'Kid Cudi']",226587,5/25/10,2010,0.0848,0.584,0.723,2.8e-05,0.093,-6.496,0.0617,173.971,0.609,1,0,43,1
72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),"['Clean Bandit', 'Zara Larsson']",212733,11/30/18,2018,0.239,0.715,0.605,1.41e-05,0.189,-5.128,0.0428,122.956,0.454,0,0,74,0
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),"['Clean Bandit', 'Zara Larsson']",212459,3/16/17,2017,0.259,0.707,0.629,1.6e-05,0.138,-4.581,0.0563,122.863,0.457,0,0,77,0
4Weo3vMehKR84QR3gEgwm8,"Symphony No. 3 in F Major, Op. 90: III. Poco allegretto","['Johannes Brahms', 'David Zinman']",374733,9/12/11,2011,0.965,0.0818,0.0218,0.841,0.104,-28.778,0.0409,172.879,0.0616,0,0,56,0
7EbVnljEpnmQT4JoeNY8cO,Synesthesia,['Andrew McMahon in the Wilderness'],261016,4/30/13,2013,0.0604,0.591,0.659,0.00225,0.0837,-7.591,0.0393,109.98,0.159,1,1,48,0
2E9xsudYVeGHnfrYqHFFaQ,Synesthesia (Bonus Track),['Mayonnaise'],259067,8/16/10,2010,0.755,0.292,0.397,0.0,0.28,-9.161,0.0346,86.491,0.187,1,7,61,0
2ozeCscFSmHW7FKLSTJlA4,Synesthesia (Scaled Down Version),['Peter Sandberg'],114462,6/17/16,2016,0.994,0.679,0.0809,0.942,0.0969,-21.97,0.0583,130.049,0.195,1,9,62,0
4dOmgE4ULbySxpeGObN8RL,Syphilis,['Juice WRLD'],131761,3/8/19,2019,0.0696,0.782,0.659,0.0,0.168,-3.103,0.248,148.03,0.336,1,1,65,1
7wMtecN31PghxCJGvAwN8n,Szundikál,['Mayer Julcsa'],269750,12/13/19,2019,0.993,0.141,0.0353,0.779,0.0865,-31.019,0.113,173.056,0.111,0,4,64,0
